,,,Mean RPM EGF addition on Vemurafenib (1uM) and Cobimetinib (1uM) 24hrs pretreatment ,,,,,,,,Std RPM EGF addition on Vemurafenib (1uM) and Cobimetinib (1uM) 24hrs pretreatment ,,,,,,
,,,Time (h),,,,,,,,Time (h),,,,,,
ENSG00000225077,LINC00337,,0.71251,0.48943,0.50521,0.64972,0.35289,0.49877,0.53508,,0.16151,0.18492,0.21989,0.48637,0.24023,0.14503,0.21752
ENSG00000158292,GPR153,,9.0449,9.7191,9.9723,9.5916,8.0163,7.8697,7.1438,,1.1113,0.62948,1.6727,1.4584,0.59369,0.88562,1.9392
ENSG00000097021,ACOT7,,35.2777,33.1773,36.2791,34.8944,36.933,33.477,33.3358,,1.5682,0.54168,1.4534,4.7173,1.5881,6.2944,2.5579
ENSG00000069812,HES2,,1.1723,0.83636,0.98019,0.82972,0.76406,1.103,0.74942,,0.4895,0.47374,0.32681,0.30808,0.12729,0.30349,0.45625
ENSG00000187017,ESPN,,29.4471,26.6126,26.7281,24.9143,24.7402,27.5031,26.5214,,1.0633,1.9671,2.1239,1.1924,2.0053,1.401,1.1209
ENSG00000215788,TNFRSF25,,16.998,17.383,18.0624,18.8832,15.4243,19.1753,14.3129,,2.5469,3.5895,2.6295,2.737,3.4017,1.734,1.3262
ENSG00000171680,PLEKHG5,,82.5017,78.3474,81.6322,78.0236,71.5791,76.1539,70.9279,,7.6686,3.0892,7.1263,1.4207,6.3904,4.0232,5.412
ENSG00000162408,NOL9,,30.3467,30.9498,31.1283,30.0304,31.6988,32.1188,32.8235,,3.5958,4.5374,5.2733,1.2681,4.6749,1.5621,3.5203
ENSG00000204859,ZBTB48,,21.6979,22.8982,22.4707,21.678,22.8094,22.875,20.5952,,2.8391,2.4222,2.5249,1.9095,2.181,4.1675,2.2074
ENSG00000162413,KLHL21,,314.564,317.8593,313.4066,325.101,320.5007,311.1357,292.2674,,15.4576,17.3155,10.0415,22.8714,19.7661,9.1213,10.6751
ENSG00000116273,PHF13,,37.6215,35.1137,36.4072,36.3179,34.0338,34.4799,35.5897,,1.7957,3.8996,3.4405,1.121,3.808,2.5002,1.707
ENSG00000041988,THAP3,,15.3898,15.2039,14.9245,15.4193,14.596,16.2357,14.7743,,2.0027,0.95435,1.0111,0.94018,2.4284,1.4842,1.8144
ENSG00000007923,DNAJC11,,78.5454,82.1713,84.495,81.8866,82.2026,84.2593,77.4865,,5.309,4.9686,3.5792,3.4748,0.80805,3.4973,4.6438
ENSG00000237436,CAMTA1-DT,,0.73588,0.91694,0.91603,0.72563,0.64024,0.73912,0.87941,,0.20379,0.40552,0.40333,0.33191,0.33944,0.11387,0.55988
ENSG00000171735,CAMTA1,,22.8973,23.1986,25.1275,23.1974,23.0726,23.5461,24.2655,,1.5069,2.675,0.67489,1.5114,1.3008,2.5582,3.0806
ENSG00000049245,VAMP3,,157.6592,156.5147,157.4003,157.7756,164.5681,164.596,165.184,,3.9996,4.0249,2.1876,3.9326,5.839,10.5627,6.7389
ENSG00000269925,Z98884.2,,0.5922,0.52915,0.5186,1.0092,0.43409,0.5544,0.58107,,0.52702,0.09936,0.015708,0.47827,0.1552,0.23177,0.3436
ENSG00000049246,PER3,,12.5142,11.9901,12.0001,12.8997,11.6183,10.7203,10.5394,,1.7686,1.7686,1.4391,1.2836,2.4742,0.83996,1.8221
ENSG00000049247,UTS2,,0.11441,0.11313,0.17591,0.082501,0.18204,0.1843,0.22787,,0.14399,0.083831,0.14195,0.10087,0.18208,0.11513,0.091076
ENSG00000049249,TNFRSF9,,2.1333,2.6669,3.2144,4.1099,2.5882,3.2978,2.4995,,1.0681,0.34036,1.2558,0.92498,0.6406,0.21625,0.34749
ENSG00000116288,PARK7,,193.6239,196.8963,197.8769,190.8501,202.2031,195.1576,201.6078,,14.4147,8.1057,5.9628,8.6235,15.2381,9.6536,6.2496
ENSG00000284747,AL034417.4,,0.63305,0.84604,0.50167,0.74191,0.36579,0.43273,0.56875,,0.26489,0.49707,0.18576,0.26324,0.14885,0.038673,0.29597
ENSG00000116285,ERRFI1,,41.1707,44.9086,42.6308,38.155,36.3641,39.8482,39.4489,,4.1942,5.3968,7.0679,2.534,5.2582,3.5326,4.2992
