Cell_Line,Vemurafenib,Dabrafenib,PLX8394,LY3009120,AZ_628,Cobimetinib,Trametinib,Selumetinib,Binimetinib,PD0325901,EGF,Time_Drug,Time_EGF,pERK,pMEK,Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Std,Std,Std,Std,Std,Std,Std,Std,Std,Std
A375,0,0,-1,0,0,0,0,0,0,0,100,24,0.0833,0,1,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.106666667,0.983580233,0.954839997,0.943760962,0.908304962,1.007968184,1.222771637,1.305346127,1.176863029,1.013818292,0.918681672,0.000422529,0.03501436,0.025198482,0.027062072,0.043855522,0.04194487,0.02034897,0.032683945,0.016654953,0.049899399
A375,0,0,0,-1,0,0,0,0,0,0,0,24,0.0833,0,1,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.106666667,0.904382099,0.936249408,0.976407836,0.838999972,0.666943667,0.361873539,0.178173862,0.091776801,0.086935458,0.097051756,0.018983459,0.000827324,0.020021525,0.052763492,0.042604462,0.024889548,0.007447317,0.029161754,0.017158464,0.022514326
A375,0,0,0,-1,0,0,0,0,0,0,100,24,0.0833,0,1,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.106666667,0.921196598,0.931540862,0.940304642,0.999540805,1.039869337,1.302539974,1.148669383,0.866096794,0.646819325,0.559814606,0.001181296,0.118750706,0.036759187,0.071041949,0.046726011,0.033956073,0.036272841,0.026489642,0.080970291,0.084965131
A375,0,0,0,0,-1,0,0,0,0,0,0,24,0.0833,0,1,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.108185107,6.666666667,0.92592387,1.003764068,1.043116954,0.88803614,0.766231723,0.446721211,0.206437067,0.130257522,0.123120808,0.165896079,0.023464018,0.017015287,0.08278921,0.061854654,0.082664434,0.016228189,0.010495255,0.007164524,0.038335342,0.041924177
A375,0,0,0,0,-1,0,0,0,0,0,100,24,0.0833,0,1,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.108185107,6.666666667,0.994610075,0.986527306,1.04913572,1.018655147,1.116155671,1.268348775,0.934724621,0.650366524,0.556368516,0.653794875,0.04713045,0.04272422,0.003920852,0.017290071,0.03701054,0.016882076,0.066433868,0.014787763,0.033236979,0.061010738
A375,0,0,0,0,0,-1,0,0,0,0,0,24,0.0833,0,1,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,1.077747376,0.987657198,0.959715176,0.928039638,0.679363325,0.462521924,0.243276761,0.196972222,0.176753501,0.164716686,0.041437746,0.062065091,0.027956858,0.050427764,0.009643917,0.008035423,0.046600099,0.019128203,0.047271322,0.017396373
A375,0,0,0,0,0,-1,0,0,0,0,100,24,0.0833,0,1,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,1.081859883,1.111087843,1.013708477,1.078195881,1.050239848,1.220882676,1.181692672,1.172744716,1.166459614,1.209039107,0.076228242,0.040031795,0.044521952,0.023950215,0.067738758,0.008671716,0.013116165,0.037981856,0.021359916,0.01287465
A375,0,0,0,0,0,0,-1,0,0,0,0,24,0.0833,0,1,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,1.045722828,0.868412578,0.755057288,0.541020579,0.224530087,0.163054861,0.120956929,0.131831462,0.138221269,0.152963832,1.34141E-06,0.078778465,0.039522758,0.048205744,0.001274995,0.042862132,0.021396586,0.005550476,0.023945796,0.025109214
A375,0,0,0,0,0,0,-1,0,0,0,100,24,0.0833,0,1,2.10819E-05,6.66667E-05,0.000210819,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,1.011080324,0.942480914,0.833415058,0.826681246,0.908593187,0.867631746,0.92451186,0.910325131,0.971366495,1.007945717,0.078399037,0.010987597,0.035387182,0.051065718,0.087486329,0.016631525,0.010679522,0.005378695,0.007336861,0.006616663
A375,0,0,0,0,0,0,0,-1,0,0,0,24,0.0833,0,1,0.000666667,0.002108185,0.006666667,0.021081851,0.066666667,0.210818511,0.666666667,2.108185107,6.666666667,21.06666667,0.990339423,0.985725513,1.024524292,0.862468085,0.684155787,0.565799142,0.552132833,0.617379106,0.665837264,0.729237807,0.066711175,0.048314161,0.05812303,0.083488159,0.034944558,0.022322761,0.033332746,0.014932589,0.059208225,0.090221089
