Cell_Line,Vemurafenib,Cobimetinib,EGF,Time_Drug,Time_EGF,pERK,pMEK,Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Concentration (uM),Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Std,Std,Std,Std,Std,Std,Std,Std,Std,Std
A375_Cra_F7_5/13,-1,0,100,24,0.5,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,1.317637037,1.336667486,1.313394054,1.392614458,1.393476067,1.343756469,1.266219057,1.261558338,1.263530716,1.345554155,0.055523412,0.087035476,0.003757067,0.093674706,0.015630568,0.052248713,0.066657966,0.043232106,0.018268494,0.077203309
A375_Cra_F7_5/13,-1,0,100,24,2,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,1.263840343,1.198492648,1.178233827,1.159507012,1.073013826,0.953933821,0.846098411,0.775914725,0.732132805,0.807053934,0.069659907,0.034531843,0.028263581,0.069844466,0.015987818,0.053269656,0.027537251,0.030462958,0.016047857,0.027656031
A375_Cra_F7_5/13,-1,0,100,24,8,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,0.980404923,1.037321193,0.948734858,0.948326939,0.891187176,0.697377989,0.612660936,0.594410294,0.523618607,0.522110669,0.037209383,0.035841711,0.013667323,0.043460294,0.00594664,0.033160843,0.009550278,0.001836073,0.004002339,0.019796241
A375_Cra_F7_5/13,-1,0,100,24,24,1,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,1.062855493,1.090862376,1.077142349,1.067305336,0.980789575,0.824099388,0.737273418,0.720676772,0.705168131,0.66559649,0.020162998,0.011207341,0.039404286,0.022089139,0.042473791,0.029099563,0.014896333,0.027687072,0.021941691,0.01854665
A375_Cra_F7_5/13,0,-1,0,24,0.083,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.991900025,1.009549377,0.951465409,0.770556834,0.466668491,0.233938014,0.141709769,0.110633975,0.096806692,0.098858162,0.014394924,0.016490886,0.063331893,0.014375351,0.027553665,0.006193015,0.007573566,0.004229745,0.001334823,0.001997021
A375_Cra_F7_5/13,0,-1,0,24,0.5,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.967612493,0.944611571,0.858855597,0.742087886,0.421666833,0.214238889,0.177268722,0.143131653,0.09969887,0.093943095,0.01149341,0.004931765,0.0292125,0.017931892,0.036531271,0.006329548,0.008259162,0.002795141,0.000742264,0.00054214
A375_Cra_F7_5/13,0,-1,0,24,2,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.046015688,1.01747438,1.028756399,0.849178412,0.549518034,0.217475262,0.121504047,0.107270555,0.100175785,0.099797745,0.033877702,0.007054194,0.04011839,0.002669042,0.058722822,0.012013156,0.002263153,0.002134531,0.001436568,3.82287E-05
A375_Cra_F7_5/13,0,-1,0,24,8,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.973782611,0.998925073,0.960344951,0.800701433,0.470021385,0.18903725,0.101677261,0.086037329,0.082004573,0.082502873,0.029744118,0.043710847,0.002885357,0.012395582,0.016561922,0.002699335,0.003456303,0.003219681,0.000487563,5.13055E-05
A375_Cra_F7_5/13,0,-1,0,24,24,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.067915941,1.053381848,1.035326536,0.92716936,0.530999197,0.18908944,0.116463482,0.100203938,0.08926717,0.084121035,0.051900456,0.008160199,0.028417298,0.053778245,0.030327456,0.008230099,0.006297263,0.006094389,0.000134436,0.003320395
A375_Cra_F7_5/13,0,-1,100,24,0.083,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.471348096,1.436828724,1.432135148,1.420453017,1.367897562,1.271094497,1.15099173,0.882582282,0.309802481,0.110571018,0.034758862,0.02030136,0.109735197,0.064656648,0.049265282,0.048386318,0.022330405,0.015342682,0.020873113,0.001668254
A375_Cra_F7_5/13,0,-1,100,24,0.5,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.347124833,1.342448116,1.311134647,1.355215252,1.317993065,1.260148152,1.150394587,1.016828777,0.674909429,0.179158817,0.1150609,0.055885786,0.015659482,0.065407807,0.032304751,0.032992781,0.02188544,0.018170969,0.011943233,0.005055161
A375_Cra_F7_5/13,0,-1,100,24,2,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.208813005,1.194467845,1.14238419,1.079307782,0.925834854,0.744565219,0.65812768,0.52734839,0.341241996,0.136831658,0.043448657,0.010650993,0.018544965,0.017611323,0.017736702,0.003768196,0.000384883,0.008880513,0.014872004,0.00387491
A375_Cra_F7_5/13,0,-1,100,24,8,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.989726676,0.99877925,0.996930259,0.877719865,0.734979402,0.577790543,0.474834273,0.367468783,0.221455548,0.100351953,0.021073846,0.029471689,0.027079773,0.003510156,0.009740016,0.002144203,0.018080542,0.002996942,0.004774321,0.001149865
A375_Cra_F7_5/13,0,-1,100,24,24,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.072063827,1.081563883,1.084446347,1.035181102,0.901983996,0.688874672,0.581855817,0.465196107,0.273125452,0.107162287,0.023859789,0.039682571,0.003439991,0.04306199,0.050526668,0.024947001,0.005107123,0.016707008,0.021764446,0.002107322
A375_Cra_F7_5/13,1,-1,0,24,0.083,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.226128005,0.225565088,0.221011723,0.191861156,0.174954816,0.133839776,0.115459855,0.103610589,0.099429062,0.09943623,0.024266057,0.002374868,0.009082668,0.007851158,0.005812686,0.000886644,0.003751801,0.001076066,0.001848096,0.001264891
A375_Cra_F7_5/13,1,-1,0,24,0.5,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.23162611,0.227955896,0.221965624,0.209603564,0.176297468,0.181952459,0.162469524,0.120271435,0.094393742,0.095960572,0.024005789,0.001772716,0.004676488,0.01470188,0.003929377,0.00411074,0.00313427,0.008502154,0.00021081,0.000179709
A375_Cra_F7_5/13,1,-1,0,24,2,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.183778145,0.189356541,0.181292612,0.160710777,0.146683371,0.123773854,0.113329199,0.102906269,0.099436756,0.099213759,0.006336909,0.005646861,0.001172039,0.006794977,0.011649811,0.003757711,0.000931682,0.002347708,0.000766933,0.000665465
A375_Cra_F7_5/13,1,-1,0,24,8,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.145056152,0.149687327,0.148694218,0.125638021,0.113312564,0.103103997,0.087102921,0.083631521,0.083491917,0.082095296,0.00053539,0.003855943,0.002918411,0.003947756,0.001543686,0.001626263,0.000700725,0.000506815,0.003269144,6.55005E-05
A375_Cra_F7_5/13,1,-1,0,24,24,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.149045452,0.140078671,0.146563426,0.138386863,0.123985706,0.124942464,0.103559275,0.097793974,0.085596947,0.082160667,0.002399223,0.006134443,0.004750623,2.71634E-05,0.006745848,0.002475724,0.007160158,0.003597313,0.002221521,0.00012696
A375_Cra_F7_5/13,1,-1,100,24,0.083,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.361162466,1.345623058,1.272946327,1.3133504,1.318544106,1.243405408,1.06419414,0.710267458,0.188527562,0.110493535,0.023793949,0.018891147,0.06309939,0.002840257,0.003991808,0.053281374,0.064240002,0.016629885,0.008796358,0.001377089
A375_Cra_F7_5/13,1,-1,100,24,0.5,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,1.271949662,1.213429656,1.274474603,1.2273864,1.267532606,1.254987589,1.162844533,0.95297342,0.599746878,0.141747169,0.023070345,0.064693423,0.008462536,0.026171149,0.005430336,0.01542587,0.024497569,0.006176599,0.011164386,0.005115017
A375_Cra_F7_5/13,1,-1,100,24,2,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.796264363,0.800688684,0.783416187,0.798077953,0.774720897,0.697299515,0.616610413,0.473958717,0.270760485,0.122307852,0.012490258,0.006862885,0.018021031,0.00228346,0.015602709,0.011966633,0.00645277,0.00842922,0.011322053,0.000840189
A375_Cra_F7_5/13,1,-1,100,24,8,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.60376563,0.580522258,0.578744189,0.56621951,0.547856885,0.485141333,0.420627852,0.299213937,0.160590771,0.094338232,0.021808163,0.013247948,0.003312701,0.006727063,0.001583944,0.004270532,0.005306711,0.001375113,0.00397816,0.002973528
A375_Cra_F7_5/13,1,-1,100,24,24,1,0,3.16228E-05,0.0001,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,0.760544181,0.728292066,0.732400381,0.74166489,0.695446112,0.619857798,0.525797555,0.37714774,0.186195216,0.093234913,0.011616356,0.033201654,0.020266789,0.00635863,0.048358844,0.004341605,0.006066535,0.028350878,0.005449787,0.001310248
